종목코드,종목명,산업,섹터
252730,KBSTAR 모멘텀로우볼,국내 업종/테마,테마
363580,KODEX 200IT TR,국내 업종/테마,기술
091170,KODEX 은행,국내 업종/테마,금융
364960,TIGER KRX BBIG K-뉴딜,국내 업종/테마,테마
364970,TIGER KRX바이오K-뉴딜,국내 업종/테마,바이오헬스케어
364980,TIGER KRX2차전지K-뉴딜,국내 업종/테마,기술
364990,TIGER KRX게임K-뉴딜,국내 업종/테마,미디어엔터/게임
401470,KODEX K-메타버스액티브,국내 업종/테마,미디어엔터/게임
400970,TIGER Fn메타버스,국내 업종/테마,미디어엔터/게임
403790,마이다스 KoreaStock액티브,국내 업종/테마,테마
401170,KBSTAR iSelect메타버스,국내 업종/테마,미디어엔터/게임
402460,HANARO Fn K-메타버스MZ,국내 업종/테마,미디어엔터/게임
365000,TIGER KRX인터넷K-뉴딜,국내 업종/테마,기술
091160,KODEX 반도체,국내 업종/테마,기술
367740,HANARO Fn5G산업,국내 업종/테마,기술
367760,KBSTAR Fn5G테크,국내 업종/테마,기술
402520,FOCUS 혁신기업액티브,국내 업종/테마,기술
367770,KBSTAR Fn수소경제테마,국내 업종/테마,테마
368190,HANARO Fn K-뉴딜디지털플러스,국내 업종/테마,기술
368200,KBSTAR Fn K-뉴딜디지털플러스,국내 업종/테마,기술
368470,KINDEX Fn K-뉴딜디지털플러스,국내 업종/테마,기술
368680,KODEX Fn K-뉴딜디지털플러스,국내 업종/테마,기술
396500,TIGER Fn반도체TOP10,국내 업종/테마,기술
375760,HANARO 탄소효율그린뉴딜,국내 업종/테마,ESG
375770,KODEX 탄소효율그린뉴딜,국내 업종/테마,ESG
376250,ARIRANG 탄소효율그린뉴딜,국내 업종/테마,ESG
376410,TIGER 탄소효율그린뉴딜,국내 업종/테마,ESG
377990,TIGER Fn신재생에너지,국내 업종/테마,ESG
380340,KINDEX Fn5G플러스,국내 업종/테마,기술
381560,HANARO Fn전기&수소차,국내 업종/테마,기술
381570,HANARO Fn친환경에너지,국내 업종/테마,ESG
385510,KODEX K-신재생에너지액티브,국내 업종/테마,ESG
385520,KODEX K-미래차액티브,국내 업종/테마,기술
414270,KINDEX G2전기차&자율주행액티브,국내 업종/테마,기술
417450,KBSTAR 글로벌수소경제Indxx,국내 업종/테마,기술
419650,ARIRANG 글로벌수소&차세대연료전지MV,국내 업종/테마,기술
385590,네비게이터 ESG액티브,국내 업종/테마,ESG
385600,네비게이터 친환경자동차밸류체인액티브,국내 업종/테마,ESG
385710,TIMEFOLIO BBIG액티브,국내 업종/테마,기술
387280,TIGER 퓨처모빌리티액티브,국내 업종/테마,기술
373490,KODEX K-이노베이션액티브,국내 업종/테마,기술
091180,KODEX 자동차,국내 업종/테마,기술
102780,KODEX 삼성그룹,국내 업종/테마,테마
314700,HANARO 농업융복합산업,국내 업종/테마,ESG
315270,TIGER 200커뮤니케이션서비스,국내 업종/테마,미디어엔터/게임
315480,KBSTAR 200커뮤니케이션서비스,국내 업종/테마,미디어엔터/게임
315930,KODEX Top5PlusTR,국내 업종/테마,테마
322120,KINDEX 스마트퀄리티,국내 업종/테마,테마
322130,KINDEX 스마트로우볼,국내 업종/테마,테마
322150,KINDEX 스마트하이베타,국내 업종/테마,테마
322400,HANARO e커머스,국내 업종/테마,기술
325010,KODEX Fn성장,국내 업종/테마,테마
326230,KBSTAR 내수주플러스,국내 업종/테마,테마
098560,TIGER 방송통신,국내 업종/테마,미디어엔터/게임
333940,ARIRANG KS로우볼가중TR,국내 업종/테마,테마
333950,ARIRANG KS로우사이즈가중TR,국내 업종/테마,테마
333960,ARIRANG KS모멘텀가중TR,국내 업종/테마,테마
333970,ARIRANG KS밸류가중TR,국내 업종/테마,테마
333980,ARIRANG KS퀄리티가중TR,국내 업종/테마,테마
337120,KODEX Fn멀티팩터,국내 업종/테마,테마
337160,KODEX 200ESG,국내 업종/테마,ESG
417630,TIGER KEDI혁신기업ESG30,국내 업종/테마,ESG
091230,TIGER 반도체,국내 업종/테마,기술
091220,TIGER 은행,국내 업종/테마,금융
326240,KBSTAR IT플러스,국내 업종/테마,기술
252720,KBSTAR 모멘텀밸류,국내 업종/테마,테마
388420,KBSTAR 비메모리반도체액티브,국내 업종/테마,기술
213610,KODEX 삼성그룹밸류,국내 업종/테마,테마
215620,흥국 S&P코리아로우볼,국내 업종/테마,테마
217790,TIGER 가격조정,국내 업종/테마,테마
223190,KODEX 200가치저변동,국내 업종/테마,테마
226380,KINDEX Fn성장소비주도주,국내 업종/테마,필수소비재
138530,TIGER LG그룹+펀더멘털,국내 업종/테마,테마
138520,TIGER 삼성그룹펀더멘털,국내 업종/테마,테마
227540,TIGER 200 헬스케어,국내 업종/테마,바이오헬스케어
244670,KODEX 밸류Plus,국내 업종/테마,테마
244660,KODEX 퀄리티Plus,국내 업종/테마,테마
227550,TIGER 200 산업재,국내 업종/테마,경기소비재
227560,TIGER 200 생활소비재,국내 업종/테마,필수소비재
227570,TIGER 우량가치,국내 업종/테마,테마
228790,TIGER 화장품,국내 업종/테마,경기소비재
228800,TIGER 여행레저,국내 업종/테마,경기소비재
228810,TIGER 미디어컨텐츠,국내 업종/테마,미디어엔터/게임
244620,KODEX 모멘텀Plus,국내 업종/테마,테마
244580,KODEX 바이오,국내 업종/테마,바이오헬스케어
243890,TIGER 200에너지화학레버리지,국내 업종/테마,경기소비재
131890,KINDEX 삼성그룹동일가중,국내 업종/테마,테마
234310,KBSTAR V&S셀렉트밸류,국내 업종/테마,테마
243880,TIGER 200IT레버리지,국내 업종/테마,기술
174350,TIGER 로우볼,국내 업종/테마,테마
139290,TIGER 200 경기소비재,국내 업종/테마,경기소비재
140570,KBSTAR 수출주,국내 업종/테마,경기소비재
140580,KBSTAR 우량업종,국내 업종/테마,테마
140700,KODEX 보험,국내 업종/테마,금융
140710,KODEX 운송,국내 업종/테마,경기소비재
139260,TIGER 200 IT,국내 업종/테마,기술
143460,KINDEX 밸류대형,국내 업종/테마,테마
143860,TIGER 헬스케어,국내 업종/테마,바이오헬스케어
145850,TREX 펀더멘탈 200,국내 업종/테마,테마
147970,TIGER 모멘텀,국내 업종/테마,테마
139250,TIGER 200 에너지화학,국내 업종/테마,경기소비재
139230,TIGER 200 중공업,국내 업종/테마,경기소비재
139240,TIGER 200 철강소재,국내 업종/테마,경기소비재
138540,TIGER 현대차그룹+펀더멘털,국내 업종/테마,테마
139220,TIGER 200 건설,국내 업종/테마,경기소비재
157500,TIGER 증권,국내 업종/테마,금융
157490,TIGER 소프트웨어,국내 업종/테마,기술
395160,KODEX Fn시스템반도체,국내 업종/테마,기술
395150,KODEX Fn웹툰&드라마,국내 업종/테마,미디어엔터/게임
395760,ARIRANG ESG성장주액티브,국내 업종/테마,ESG
395750,ARIRANG ESG가치주액티브,국내 업종/테마,ESG
395270,HANARO Fn K-반도체,국내 업종/테마,기술
395290,HANARO Fn K-POP&미디어,국내 업종/테마,미디어엔터/게임
395280,HANARO Fn K-게임,국내 업종/테마,미디어엔터/게임
404540,TIGER KRX기후변화솔루션,국내 업종/테마,ESG
404260,KODEX KRX기후변화솔루션,국내 업종/테마,ESG
404120,TIMEFOLIO 탄소중립액티브,국내 업종/테마,ESG
404470,HANARO KRX기후변화솔루션,국내 업종/테마,ESG
403990,KBSTAR KRX기후변화솔루션,국내 업종/테마,ESG
404650,SOL KRX기후변화솔루션,국내 업종/테마,ESG
407160,MASTER 테크미디어텔레콤액티브,국내 업종/테마,기술
407170,MASTER 스마트커머스액티브,국내 업종/테마,기술
407820,에셋플러스 코리아플랫폼액티브,국내 업종/테마,기술
407300,HANARO Fn골프테마,국내 업종/테마,테마
411540,SOL 200 Top10,국내 업종/테마,기술
412570,TIGER KRX2차전지K-뉴딜레버리지,국내 업종/테마,기술
410870,TIMEFOLIO K컬처액티브,국내 업종/테마,테마
413930,WOORI AI ESG액티브,국내 업종/테마,기술
412560,TIGER KRX BBIG K-뉴딜레버리지,국내 업종/테마,테마
166400,TIGER 200커버드콜5%OTM,국내 파생,파생 상품
137930,마이다스 200커버드콜5%OTM,국내 파생,파생 상품
360140,KODEX 200롱코스닥150숏선물,국내 파생,파생 상품
360150,KODEX 코스닥150롱코스피200숏선물,국내 파생,파생 상품
230480,KOSEF 미국달러선물인버스2X,국내 파생,인버스
282000,KBSTAR 국고채3년선물인버스,국내 파생,인버스
275750,KBSTAR 코스닥150선물인버스,국내 파생,인버스
306520,HANARO 200선물인버스,국내 파생,인버스
252410,KBSTAR 200선물인버스,국내 파생,인버스
301410,ARIRANG 코스닥150선물인버스,국내 파생,인버스
291620,KOSEF 코스닥150선물인버스,국내 파생,인버스
252420,KBSTAR 200선물인버스2X,국내 파생,인버스
253240,KOSEF 200선물인버스,국내 파생,인버스
253230,KOSEF 200선물인버스2X,국내 파생,인버스
253160,ARIRANG 200선물인버스2X,국내 파생,인버스
251340,KODEX 코스닥150선물인버스,국내 파생,인버스
252710,TIGER 200선물인버스2X,국내 파생,인버스
250780,TIGER 코스닥150선물인버스,국내 파생,인버스
252670,KODEX 200선물인버스2X,국내 파생,인버스
225800,KOSEF 미국달러선물레버리지,국내 파생,레버리지
304780,HANARO 200선물레버리지,국내 파생,레버리지
278240,KBSTAR 코스닥150선물레버리지,국내 파생,레버리지
291630,KOSEF 코스닥150선물레버리지,국내 파생,레버리지
306530,HANARO 코스닥150선물레버리지,국내 파생,레버리지
253250,KOSEF 200선물레버리지,국내 파생,레버리지
267770,TIGER 200선물레버리지,국내 파생,레버리지
253150,ARIRANG 200선물레버리지,국내 파생,레버리지
252400,KBSTAR 200선물레버리지,국내 파생,레버리지
334690,KBSTAR 팔라듐선물(H),원자재,귀금속
334700,KBSTAR 팔라듐선물인버스(H),원자재,귀금속
261220,KODEX WTI원유선물(H),원자재,원유
139310,TIGER 금속선물(H),원자재,귀금속
139320,TIGER 금은선물(H),원자재,귀금속
144600,KODEX 은선물(H),원자재,귀금속
132030,KODEX 골드선물(H),원자재,귀금속
130680,TIGER 원유선물Enhanced(H),원자재,원유
137610,TIGER 농산물선물Enhanced(H),원자재,농산물
138920,KODEX 콩선물(H),원자재,농산물
271050,KODEX WTI원유선물인버스(H),원자재,원유
138910,KODEX 구리선물(H),원자재,귀금속
160580,TIGER 구리실물,원자재,귀금속
271060,KODEX 3대농산물선물(H),원자재,농산물
280940,KODEX 골드선물인버스(H),원자재,귀금속
217770,TIGER 원유선물인버스(H),원자재,원유
319640,TIGER 골드선물(H),원자재,귀금속
225130,KINDEX 골드선물 레버리지(합성 H),원자재,귀금속
411060,KINDEX KRX금현물,원자재,귀금속
148070,KOSEF 국고채10년,채권,국고채
152380,KODEX 국채선물10년,채권,국고채
365780,KINDEX 국고채10년,채권,국고채
176950,KODEX 국채선물10년인버스,채권,국고채
385560,KBSTAR KIS국고채30년Enhanced,채권,국고채
167860,KOSEF 국고채10년레버리지,채권,국고채
346000,HANARO KAP초장기국고채,채권,국고채
176710,파워 중기국고채,채권,국고채
196230,KBSTAR 단기통안채,채권,국고채
114470,KOSEF 국고채3년,채권,국고채
289670,ARIRANG 국채선물10년,채권,국고채
298340,ARIRANG 국채선물3년,채권,국고채
153130,KODEX 단기채권,채권,국고채
272910,KINDEX 중장기국공채액티브,채권,국고채
299070,KINDEX 국채선물10년인버스,채권,국고채
295000,KBSTAR 국채선물10년,채권,국고채
299080,KINDEX 국채선물3년인버스,채권,국고채
114820,TIGER 국채3년,채권,국고채
302190,TIGER 중장기국채,채권,국고채
295020,KBSTAR 국채선물10년인버스,채권,국고채
114260,KODEX 국고채3년,채권,국고채
114100,KBSTAR 국고채3년,채권,국고채
397420,KBSTAR 국채선물5년추종,채권,국고채
114460,KINDEX 국고채3년,채권,국고채
272570,KBSTAR 중장기국공채액티브,채권,국고채
292770,KODEX 국채선물3년인버스,채권,국고채
397410,KBSTAR 국채선물5년추종인버스,채권,국고채
272560,KBSTAR 단기국공채액티브,채권,국고채
190620,KINDEX 단기통안채,채권,국고채
122260,KOSEF 통안채1년,채권,국고채
363510,SMART KIS단기통안채,채권,국고채
157450,TIGER 단기통안채,채권,국고채
336160,KBSTAR 금융채액티브,채권,국고채
273140,KODEX 단기변동금리부채권액티브,채권,국고채
214980,KODEX 단기채권PLUS,채권,국고채
130730,KOSEF 단기자금,채권,국고채
419890,히어로즈 단기채권ESG액티브,채권,국고채
272580,TIGER 단기채권액티브,채권,국고채
305080,TIGER 미국채10년선물,채권,미국채
284430,KODEX 200미국채혼합,채권,미국채
329750,TIGER 미국달러단기채권액티브,채권,미국채
308620,KODEX 미국채10년선물,채권,미국채
304660,KODEX 미국채울트라30년선물(H),채권,미국채
267450,KBSTAR 미국장기국채선물인버스(H),채권,미국채
267440,KBSTAR 미국장기국채선물(H),채권,미국채
267500,KBSTAR 미국장기국채선물인버스2X(합성 H),채권,미국채
304670,KODEX 미국채울트라30년선물인버스(H),채권,미국채
267490,KBSTAR 미국장기국채선물레버리지(합성 H),채권,미국채
390950,HANARO 단기채권액티브,채권,미국채
329660,KODEX TRF5050,채권,혼합
251600,ARIRANG 고배당주채권혼합,채권,혼합
329670,KODEX TRF7030,채권,혼합
183710,KBSTAR 주식혼합,채권,혼합
183700,KBSTAR 채권혼합,채권,혼합
357870,TIGER CD금리투자KIS(합성),채권,혼합
329650,KODEX TRF3070,채권,혼합
241390,KBSTAR V&S셀렉트밸류채권혼합,채권,혼합
253290,KBSTAR 헬스케어채권혼합,채권,혼합
238670,ARIRANG 스마트베타Quality채권혼합,채권,혼합
237440,TIGER 경기방어채권혼합,채권,혼합
321410,KODEX 멀티에셋하이인컴(H),채권,혼합
237370,KODEX 배당성장채권혼합,채권,혼합
341850,TIGER KIS부동산인프라채권TR,채권,혼합
278620,ARIRANG 단기채권액티브,채권,혼합
385550,KBSTAR KIS단기종합채권(AA-이상)액티브,채권,혼합
385540,KBSTAR KIS종합채권(A-이상)액티브,채권,혼합
363570,KODEX 장기종합채권(AA-이상)액티브KAP,채권,혼합
356540,KINDEX KIS종합채권(AA-이상)액티브,채권,혼합
273130,KODEX 종합채권(AA-이상)액티브,채권,혼합
342140,KINDEX 모닝스타싱가포르리츠채권혼합,채권,혼합
332610,ARIRANG 미국단기우량회사채,채권,회사채
332620,ARIRANG 미국장기우량회사채,채권,회사채
182490,TIGER 단기선진하이일드(합성 H),채권,회사채
239660,ARIRANG 우량회사채50 1년,채권,회사채
136340,KBSTAR 중기우량회사채,채권,회사채
291130,KINDEX 멕시코MSCI(합성),해외,신흥국
256750,KODEX 심천ChiNext(합성),해외,중국
367380,KINDEX 미국나스닥100,해외,미국
251350,KODEX 선진국MSCI World,해외,선진국
256450,ARIRANG 심천차이넥스트(합성),해외,중국
256440,KINDEX 인도네시아MSCI(합성),해외,신흥국
368590,KBSTAR 미국나스닥100,해외,미국
291680,KBSTAR 차이나H선물인버스(H),해외,중국
291890,KODEX MSCI EM선물(H),해외,신흥국
245340,TIGER 미국다우존스30,해외,미국
371450,TIGER 글로벌클라우드컴퓨팅INDXX,해외,글로벌
371150,KBSTAR 차이나항셍테크,해외,중국
276990,KODEX 글로벌4차산업로보틱스(합성),해외,글로벌
387270,TIGER 글로벌BBIG액티브,해외,글로벌
407830,에셋플러스 글로벌플랫폼액티브,해외,글로벌
241180,TIGER 일본니케이225,해외,일본
238720,KINDEX 일본Nikkei225(H),해외,일본
117690,TIGER 차이나항셍25,해외,중국
280320,KINDEX 미국IT인터넷S&P(합성 H),해외,미국
280930,KODEX 미국러셀2000(H),해외,미국
276970,KODEX 미국S&P고배당커버드콜(합성 H),해외,미국
283580,KODEX 중국본토CSI300,해외,중국
381180,TIGER 미국필라델피아반도체나스닥,해외,미국
381170,TIGER 미국테크TOP10 INDXX,해외,미국
379810,KODEX 미국나스닥100TR,해외,미국
379800,KODEX 미국S&P500TR,해외,미국
150460,TIGER 중국소비테마,해외,중국
371130,KINDEX 블룸버그베트남VN30선물레버리지(H),해외,신흥국
379790,KBSTAR 유로스탁스50(H),해외,유럽
400570,KODEX 유럽탄소배출권선물ICE(H),해외,유럽
143850,TIGER 미국S&P500선물(H),해외,미국
236350,TIGER 인도니프티50레버리지(합성),해외,신흥국
276650,KBSTAR 글로벌4차산업IT(합성 H),해외,글로벌
276000,TIGER 글로벌자원생산기업(합성 H),해외,글로벌
133690,TIGER 미국나스닥100,해외,미국
418660,TIGER 미국나스닥100레버리지(합성),해외,미국
418670,TIGER 글로벌사이버보안INDXX,해외,글로벌
419170,HANARO 미국메타버스iSelect,해외,미국
275980,TIGER 글로벌4차산업혁신기술(합성 H),해외,글로벌
373790,KOSEF 미국방어배당성장나스닥,해외,미국
373530,ARIRANG 신흥국MSCI인버스(합성 H),해외,신흥국
287180,ARIRANG 미국나스닥기술주,해외,미국
372330,KODEX 차이나항셍테크,해외,중국
371870,KINDEX 차이나항셍테크,해외,중국
371470,TIGER 차이나바이오테크SOLACTIVE,해외,중국
371460,TIGER 차이나전기차SOLACTIVE,해외,중국
371160,TIGER 차이나항셍테크,해외,중국
379780,KBSTAR 미국S&P500,해외,미국
309230,KINDEX 미국WideMoat가치주,해외,미국
245350,TIGER 유로스탁스배당30,해외,유럽
360750,TIGER 미국S&P500,해외,미국
399110,SOL 미국S&P500ESG,해외,미국
400580,SOL 유럽탄소배출권선물S&P(H),해외,유럽
400590,SOL 글로벌탄소배출권선물IHS(합성),해외,글로벌
401590,HANARO 글로벌탄소배출권선물ICE(합성),해외,글로벌
195930,TIGER 유로스탁스50(합성 H),해외,유럽
195970,ARIRANG 선진국MSCI(합성 H),해외,선진국
195980,ARIRANG 신흥국MSCI(합성 H),해외,신흥국
196030,KINDEX 일본TOPIX레버리지(H),해외,일본
277540,KINDEX S&P아시아TOP50,해외,글로벌
399580,KBSTAR 글로벌클린에너지S&P,해외,글로벌
200030,KODEX 미국S&P산업재(합성),해외,미국
402970,KINDEX 미국고배당S&P,해외,미국
200250,KOSEF 인도Nifty50(합성),해외,신흥국
203780,TIGER 미국나스닥바이오,해외,미국
204450,KODEX China H 레버리지(H),해외,중국
217780,TIGER 차이나CSI300인버스(합성),해외,중국
204480,TIGER 차이나CSI300레버리지(합성),해외,중국
205720,KINDEX 일본TOPIX인버스(합성 H),해외,일본
208470,SMART 선진국MSCI World(합성 H),해외,선진국
261920,KINDEX 필리핀MSCI(합성),해외,신흥국
265690,KINDEX 러시아MSCI(합성),해외,신흥국
314250,KODEX 미국FANG플러스(H),해외,미국
245360,TIGER 차이나HSCEI,해외,중국
310080,KBSTAR 중국MSCI China선물(H),해외,중국
250730,KBSTAR 차이나HSCEI(H),해외,중국
213630,ARIRANG 미국다우존스고배당주(합성 H),해외,미국
245710,KINDEX 베트남VN30(합성),해외,신흥국
248270,TIGER S&P글로벌헬스케어(합성),해외,글로벌
195920,TIGER 일본TOPIX(합성 H),해외,일본
101280,KODEX 일본TOPIX100,해외,일본
192090,TIGER 차이나CSI300,해외,중국
218420,KODEX 미국S&P에너지(합성),해외,미국
360200,KINDEX 미국S&P500,해외,미국
269530,ARIRANG S&P글로벌인프라,해외,글로벌
269420,KODEX S&P글로벌인프라(합성),해외,글로벌
168580,KINDEX 중국본토CSI300,해외,중국
319870,KBSTAR KRX300미국달러선물혼합,해외,미국
248260,TIGER 일본TOPIX헬스케어(합성),해외,일본
169950,KODEX 중국본토 A50,해외,중국
354350,HANARO 글로벌럭셔리S&P(합성),해외,글로벌
269370,TIGER S&P글로벌인프라(합성),해외,글로벌
225060,TIGER 이머징마켓MSCI레버리지(합성 H),해외,신흥국
298770,KODEX 한국대만IT프리미어,해외,글로벌
174360,KBSTAR 중국본토대형주CSI100,해외,중국
269540,ARIRANG 미국S&P500(H),해외,미국
