종목코드,종목명,섹터
016740,두올,자동차
123410,코리아에프티,자동차
023810,인팩,자동차
005710,대원산업,자동차
101330,모베이스,자동차
012280,영화금속,자동차
010100,한국프랜지,자동차
170030,현대공업,자동차
013520,화승코퍼레이션,자동차
023000,삼원강재,자동차
019180,티에이치엔,자동차
021820,세원정공,자동차
007530,영신금속,자동차
031510,오스템,자동차
130500,GH신소재,자동차
013870,지엠비코리아,자동차
065500,오리엔트정공,자동차
054300,팬스타엔터프라이즈,자동차
075180,새론오토모티브,자동차
071850,캐스텍코리아,자동차
126640,화신정공,자동차
378850,화승알앤에이,자동차
145210,다이나믹디자인,자동차
025440,대성엘텍,자동차
002920,유성기업,자동차
085910,네오티스,자동차
128540,에코캡,자동차
000040,KR모터스,자동차
143210,핸즈코퍼레이션,자동차
001620,케이비아이동국실업,자동차
090150,아이윈,자동차
048430,유라테크,자동차
021650,한국큐빅,자동차
041650,상신브레이크,자동차
019770,서연탑메탈,자동차
017370,우신시스템,자동차
053270,구영테크,자동차
123700,SJM,자동차
154040,솔루에타,자동차
090080,평화산업,자동차
310870,디와이씨,자동차
092780,동양피스톤,자동차
018500,동원금속,자동차
163560,동일고무벨트,자동차
001380,SG글로벌,자동차
004840,DRB동일,자동차
080470,성창오토텍,자동차
004100,태양금속,자동차
093380,풍강,자동차
212560,네오오토,자동차
005030,부산주공,자동차
019540,일지테크,자동차
010770,평화홀딩스,자동차
001420,태원물산,자동차
130740,티피씨글로벌,자동차
113810,디젠스,자동차
033250,체시스,자동차
161570,THE MIDONG,자동차
024120,KB오토시스,자동차
072470,우리산업홀딩스,자동차
290120,대유에이피,자동차
053060,세동,자동차
025530,SJM홀딩스,자동차
008500,일정실업,자동차
020400,대동금속,자동차
051900,LG생활건강,"화장품,의류"
090430,아모레퍼시픽,"화장품,의류"
021240,코웨이,"화장품,의류"
383220,F&F,"화장품,의류"
081660,휠라홀딩스,"화장품,의류"
002790,아모레G,"화장품,의류"
298020,효성티앤씨,"화장품,의류"
048410,현대바이오,"화장품,의류"
111770,영원무역,"화장품,의류"
161890,한국콜마,"화장품,의류"
192820,코스맥스,"화장품,의류"
020000,한섬,"화장품,의류"
005440,현대그린푸드,"화장품,의류"
007700,F&F홀딩스,"화장품,의류"
031430,신세계인터내셔날,"화장품,의류"
105630,한세실업,"화장품,의류"
298540,더네이쳐홀딩스,"화장품,의류"
009450,경동나비엔,"화장품,의류"
093050,LF,"화장품,의류"
001530,DI동일,"화장품,의류"
241590,화승엔터프라이즈,"화장품,의류"
009970,영원무역홀딩스,"화장품,의류"
110790,크리스에프앤씨,"화장품,의류"
065350,신성델타테크,"화장품,의류"
024720,한국콜마홀딩스,"화장품,의류"
284740,쿠쿠홈시스,"화장품,의류"
033290,코웰패션,"화장품,의류"
006060,화승인더,"화장품,의류"
214260,라파스,"화장품,의류"
005390,신성통상,"화장품,의류"
052260,현대바이오랜드,"화장품,의류"
000050,경방,"화장품,의류"
018250,애경산업,"화장품,의류"
121440,골프존뉴딘홀딩스,"화장품,의류"
270660,에브리봇,"화장품,의류"
018290,브이티지엠피,"화장품,의류"
004830,덕성,"화장품,의류"
044340,위닉스,"화장품,의류"
102280,쌍방울,"화장품,의류"
003200,일신방직,"화장품,의류"
004250,NPC,"화장품,의류"
002700,신일전자,"화장품,의류"
337930,브랜드엑스코퍼레이션,"화장품,의류"
244460,올리패스,"화장품,의류"
237880,클리오,"화장품,의류"
092730,네오팜,"화장품,의류"
194370,제이에스코퍼레이션,"화장품,의류"
001070,대한방직,"화장품,의류"
192400,쿠쿠홀딩스,"화장품,의류"
005320,국동,"화장품,의류"
035150,백산,"화장품,의류"
067170,오텍,"화장품,의류"
306040,에스제이그룹,"화장품,의류"
001460,BYC,"화장품,의류"
241710,코스메카코리아,"화장품,의류"
101140,인바이오젠,"화장품,의류"
024950,삼천리자전거,"화장품,의류"
009270,신원,"화장품,의류"
079980,휴비스,"화장품,의류"
064800,젬백스링크,"화장품,의류"
013990,아가방컴퍼니,"화장품,의류"
027050,코리아나,"화장품,의류"
037070,파세코,"화장품,의류"
068290,삼성출판사,"화장품,의류"
004700,조광피혁,"화장품,의류"
260930,씨티케이,"화장품,의류"
002450,삼익악기,"화장품,의류"
226320,잇츠한불,"화장품,의류"
056080,유진로봇,"화장품,의류"
352700,씨앤투스성진,"화장품,의류"
042600,새로닉스,"화장품,의류"
038530,골드퍼시픽,"화장품,의류"
002170,삼양통상,"화장품,의류"
011330,유니켐,"화장품,의류"
159580,제로투세븐,"화장품,의류"
003610,방림,"화장품,의류"
024890,대원화성,"화장품,의류"
369370,블리츠웨이,"화장품,의류"
008600,윌비스,"화장품,의류"
123690,한국화장품,"화장품,의류"
004060,SG세계물산,"화장품,의류"
317870,엔바이오니아,"화장품,의류"
078520,에이블씨엔씨,"화장품,의류"
007980,태평양물산,"화장품,의류"
019660,글로본,"화장품,의류"
071460,위니아딤채,"화장품,의류"
002070,비비안,"화장품,의류"
025620,제이준코스메틱,"화장품,의류"
039830,오로라,"화장품,의류"
065060,지엔코,"화장품,의류"
066130,하츠,"화장품,의류"
018700,바른손,"화장품,의류"
016090,대현,"화장품,의류"
005800,신영와코루,"화장품,의류"
352480,씨앤씨인터내셔널,"화장품,의류"
014470,부방,"화장품,의류"
215480,토박스코리아,"화장품,의류"
265740,엔에프씨,"화장품,의류"
083550,케이엠,"화장품,의류"
066910,손오공,"화장품,의류"
005360,모나미,"화장품,의류"
090370,메타랩스,"화장품,의류"
114840,아이패밀리에스씨,"화장품,의류"
093240,형지엘리트,"화장품,의류"
016450,한세예스24홀딩스,"화장품,의류"
088390,이녹스,"화장품,의류"
114630,폴라리스우노,"화장품,의류"
252500,세화피앤씨,"화장품,의류"
082660,코스나인,"화장품,의류"
003350,한국화장품제조,"화장품,의류"
256150,한독크린텍,"화장품,의류"
323230,엠에프엠코리아,"화장품,의류"
086710,선진뷰티사이언스,"화장품,의류"
111110,호전실업,"화장품,의류"
026040,제이에스티나,"화장품,의류"
267790,배럴,"화장품,의류"
263020,디케이앤디,"화장품,의류"
214420,토니모리,"화장품,의류"
032080,아즈텍WB,"화장품,의류"
047770,코데즈컴바인,"화장품,의류"
000950,전방,"화장품,의류"
226340,본느,"화장품,의류"
123750,알톤스포츠,"화장품,의류"
204020,그리티,"화장품,의류"
000680,LS네트웍스,"화장품,의류"
014990,인디에프,"화장품,의류"
217480,에스디생명공학,"화장품,의류"
016100,리더스코스메틱,"화장품,의류"
123330,제닉,"화장품,의류"
219550,디와이디,"화장품,의류"
225590,패션플랫폼,"화장품,의류"
080530,코디,"화장품,의류"
024940,PN풍년,"화장품,의류"
011080,형지I&C,"화장품,의류"
008290,원풍물산,"화장품,의류"
084870,TBH글로벌,"화장품,의류"
069640,한세엠케이,"화장품,의류"
088790,진도,"화장품,의류"
308100,까스텔바작,"화장품,의류"
376180,피코그램,"화장품,의류"
227610,아우딘퓨쳐스,"화장품,의류"
234920,자이글,"화장품,의류"
098660,에스티오,"화장품,의류"
035250,강원랜드,"호텔,레저"
008770,호텔신라,"호텔,레저"
039130,하나투어,"호텔,레저"
034230,파라다이스,"호텔,레저"
032350,롯데관광개발,"호텔,레저"
025980,아난티,"호텔,레저"
114090,GKL,"호텔,레저"
080160,모두투어,"호텔,레저"
220630,맘스터치,"호텔,레저"
006730,서부T&D,"호텔,레저"
031440,신세계푸드,"호텔,레저"
070960,용평리조트,"호텔,레저"
094850,참좋은여행,"호텔,레저"
084680,이월드,"호텔,레저"
104620,노랑풍선,"호텔,레저"
020710,시공테크,"호텔,레저"
080010,이상네트웍스,"호텔,레저"
217620,디딤,"호텔,레저"
111710,남화산업,"호텔,레저"
352820,하이브,"미디어,교육"
030000,제일기획,"미디어,교육"
035760,CJ ENM,"미디어,교육"
041510,에스엠,"미디어,교육"
035900,JYP Ent.,"미디어,교육"
253450,스튜디오드래곤,"미디어,교육"
299900,위지윅스튜디오,"미디어,교육"
122870,와이지엔터테인먼트,"미디어,교육"
214320,이노션,"미디어,교육"
215200,메가스터디교육,"미디어,교육"
079160,CJ CGV,"미디어,교육"
036420,제이콘텐트리,"미디어,교육"
047820,초록뱀미디어,"미디어,교육"
034120,SBS,"미디어,교육"
206560,덱스터,"미디어,교육"
230360,에코마케팅,"미디어,교육"
037270,YG PLUS,"미디어,교육"
241840,에이스토리,"미디어,교육"
053210,스카이라이프,"미디어,교육"
122450,KMH,"미디어,교육"
160550,NEW,"미디어,교육"
037560,LG헬로비전,"미디어,교육"
043610,지니뮤직,"미디어,교육"
263720,디앤씨미디어,"미디어,교육"
096240,청담러닝,"미디어,교육"
216050,인크로스,"미디어,교육"
048550,SM C&C,"미디어,교육"
054780,키이스트,"미디어,교육"
182360,큐브엔터,"미디어,교육"
108490,로보티즈,"미디어,교육"
048910,대원미디어,"미디어,교육"
086980,쇼박스,"미디어,교육"
126560,현대퓨처넷,"미디어,교육"
089600,나스미디어,"미디어,교육"
040300,YTN,"미디어,교육"
291230,엔피,"미디어,교육"
095720,웅진씽크빅,"미디어,교육"
068930,디지털대성,"미디어,교육"
215100,로보로보,"미디어,교육"
322780,코퍼스코리아,"미디어,교육"
104200,NHN벅스,"미디어,교육"
072870,메가스터디,"미디어,교육"
058400,KNN,"미디어,교육"
046390,삼화네트웍스,"미디어,교육"
067280,멀티캠퍼스,"미디어,교육"
361570,알비더블유,"미디어,교육"
039340,한국경제TV,"미디어,교육"
066980,이엔코퍼레이션,"미디어,교육"
012170,아센디오,"미디어,교육"
123570,이엠넷,"미디어,교육"
033130,디지틀조선,"미디어,교육"
053290,NE능률,"미디어,교육"
063440,SM Life Design,"미디어,교육"
236810,엔비티,"미디어,교육"
173940,에프엔씨엔터,"미디어,교육"
033830,티비씨,"미디어,교육"
060570,드림어스컴퍼니,"미디어,교육"
003560,IHQ,"미디어,교육"
200350,래몽래인,"미디어,교육"
035620,바른손이앤에이,"미디어,교육"
204630,스튜디오산타클로스,"미디어,교육"
035000,지투알,"미디어,교육"
068050,팬엔터테인먼트,"미디어,교육"
078860,아이오케이,"미디어,교육"
040420,정상제이엘에스,"미디어,교육"
310200,애니플러스,"미디어,교육"
019680,대교,"미디어,교육"
051780,큐로홀딩스,"미디어,교육"
057030,YBM넷,"미디어,교육"
127710,아시아경제,"미디어,교육"
